"id","badestellen_id","date","sicht","eco","ente","temp","algen","cb","sicht_txt","eco_txt","ente_txt","temp_txt","algen_txt","cb_txt","bsl","state","wasserqualitaet","wasserqualitaet_txt"
226,344358,"2018-07-17",90,144,15,22.7,0,730,"90","144","15","22,7","","730","B331","gruen",1,1
227,344357,"2018-07-17",100,15,15,22.9,0,360,"100","15","15","22,9","","360","B336","gruen",1,1
228,344361,"2018-07-17",120,15,15,23.8,0,300,"120","<15","<15","23,8","","300","B350","gruen",1,1
229,344335,"2018-07-19",120,144,15,23,0,300,"120","144","<15","23","","<300","B925","gruen",1,1
230,344341,"2018-07-19",100,15,15,23.2,0,300,"100","15","15","23,2","","<300","B302","gruen",1,1
231,344343,"2018-07-19",300,15,15,23.1,0,300,">300","<15","<15","23,1","","<300","B309","gruen",1,1
232,344348,"2018-07-19",150,15,15,23.6,0,300,"150","<15","<15","23,6","","<300","B311","gruen",1,1
233,344344,"2018-07-19",300,46,30,23,0,300,">300","46","30","23","","<300","B314","gruen",1,1
234,347246,"2018-07-20",180,46,15,24.2,0,300,"180","46","<15","24,2","","<300","B911","gruen",1,1
235,344318,"2018-07-20",80,15,15,24.2,0,300,"80","15","<15","24,2","","<300","B910","gruen",1,1
236,344334,"2018-07-24",130,77,30,25.3,0,360,"130","77","30","25,3","","360","B920","gruen",1,1
237,344353,"2018-07-24",180,15,15,24.6,0,300,"180","15","<15","24,6","","<300","B915","gruen",1,1
238,344320,"2018-07-23",70,15,15,24.6,,300,"70","<15","<15","24,6","A","<300","B225","gruen_a",1,1
239,344321,"2018-07-23",100,15,15,23.7,0,300,"100","15","<15","23,7","","<300","B105","gruen",1,1
240,344322,"2018-07-23",180,15,15,23.6,,300,"180","15","<15","23,6","A","<300","B118","gruen_a",1,1
241,344323,"2018-07-23",70,15,15,24.7,,300,"70","<15","<15","24,7","A","<300","B230","gruen_a",1,1
242,344326,"2018-07-23",60,15,15,24.9,,300,"60","<15","<15","24,9","A","<300","B224","gruen_a",1,1
243,344325,"2018-07-23",70,15,15,24.5,,300,"70","<15","<15","24,5","A","<300","B226","gruen_a",1,1
244,344328,"2018-07-23",220,15,15,24,0,300,"220","15","<15","24","","<300","B112","gruen",1,1
245,344329,"2018-07-23",100,15,15,23.9,,300,"100","<15","<15","23,9","A","<300","B116","gruen_a",1,1
246,344331,"2018-07-23",40,30,15,24.8,,300,"40","30","15","24,8","A","<300","B215","gruen_a",1,1
247,344332,"2018-07-23",80,15,15,24.3,0,300,"80","<15","<15","24,3","","<300","B220","gruen",1,1
248,344333,"2018-07-23",70,15,15,24.5,,300,"70","<15","<15","24,5","A","<300","B227","gruen_a",1,1
249,344352,"2018-07-24",150,30,15,25.1,0,300,"150","30","<15","25,1","","<300","B922","gruen",1,1
250,344336,"2018-07-24",160,480,15,25.3,0,300,"160","480","15","25,3","","<300","B926","gruen",1,1
251,344350,"2018-07-25",130,30,15,25.9,0,360,"130","30","<15","25,9","","360","B332","gruen",1,1
252,344340,"2018-07-25",350,77,15,25.8,0,300,">350","77","<15","25,8","","<300","B961","gruen",1,1
253,344338,"2018-07-25",350,15,15,26.6,0,300,">350","<15","<15","26,6","","<300","B962","gruen",1,1
254,344359,"2018-07-25",130,15,15,25.2,0,360,"130","15","<15","25,2","","360","B330","gruen",1,1
255,468922,"2018-07-26",100,15,15,24.8,0,300,"100","15","<15","24,8","","<300","B930","gruen",1,1
256,344351,"2018-07-25",130,46,15,26.9,0,2300,"130","46","15","26,9","","2300","B329","gruen",1,1
257,344355,"2018-07-20",120,15,30,25.2,0,300,"120","<15","30","25,2","","<300","B950","gruen",1,1
258,344358,"2018-07-25",150,15,15,25.3,0,360,"150","<15","<15","25,3","","360","B331","gruen",1,1
259,344356,"2018-07-26",120,15,15,25.4,0,300,"120","<15","15","25,4","","<300","B955","gruen",1,1
260,344363,"2018-07-26",100,15,15,23.7,0,300,"100","15","<15","23,7","","<300","B936","gruen",1,1
261,344337,"2018-07-27",80,15,15,26.7,0,9300,"80","<15","<15","26,7","","9300","B304","gruen",1,1
262,344345,"2018-07-27",120,15,15,26.3,0,360,"120","15","<15","26,3","","360","B312","gruen",1,1
263,344349,"2018-07-27",150,15,30,27,0,360,"150","15","30","27","","360","B313","gruen",1,1
